"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene_symbol"
"Oprd1",0,1.02647221136119,1,0,0,"Oprd1"
"A830036E02Rik",1.20112332341621e-34,0.365878108036682,0.198,0.017,3.36290508090072e-30,"A830036E02Rik"
"Ngef",1.02993414157947e-26,0.87207005040201,0.741,0.245,2.8836096095942e-22,"Ngef"
"Adora2a",1.26540087842851e-26,1.09771613836343,0.259,0.037,3.54286937942415e-22,"Adora2a"
"Upb1",1.47432022426651e-26,0.641154560889621,0.173,0.017,4.12780176390137e-22,"Upb1"
"Kcnip2",2.34078085113135e-24,0.827501212284791,0.58,0.172,6.55371822699756e-20,"Kcnip2"
"Ppp3ca",1.17481790408704e-23,1.43355509775485,1,0.773,3.28925516786291e-19,"Ppp3ca"
"Map2k1",1.01738243882302e-22,1.19349020811622,0.963,0.649,2.84846735221668e-18,"Map2k1"
"Calm2",1.18160364722188e-22,1.22114466161259,1,0.983,3.30825389149182e-18,"Calm2"
"Nsg2",4.78207526631998e-22,1.03097929004197,0.988,0.605,1.33888543306427e-17,"Nsg2"
"Atp1b1",7.11760354701751e-22,1.18785908092852,1,0.793,1.99278664109396e-17,"Atp1b1"
"Tmem158",3.77029885677189e-21,1.27908901872172,0.914,0.515,1.055608273919e-16,"Tmem158"
"Nap1l1",5.40613444746401e-21,0.999724605851383,0.951,0.642,1.51360952260097e-16,"Nap1l1"
"Necab2",6.50461036231002e-21,0.907440930807862,0.63,0.23,1.82116080923956e-16,"Necab2"
"Camk2b",7.19454468464072e-21,0.960670030780808,0.975,0.607,2.01432862080571e-16,"Camk2b"
"Plppr4",8.24555449269936e-21,0.888061506545714,0.852,0.415,2.30859034686597e-16,"Plppr4"
"C2cd2l",1.66808800349457e-20,0.61600079969403,0.667,0.242,4.6703127921841e-16,"C2cd2l"
"Rasgef1a",2.25495144067071e-20,0.768914054633655,0.815,0.373,6.31341304358985e-16,"Rasgef1a"
"Jakmip1",5.45340909606805e-20,0.717580696628469,0.778,0.33,1.52684547871713e-15,"Jakmip1"
"Atp6v1g2",8.69029786287463e-20,1.13058430972464,0.938,0.612,2.43310959564764e-15,"Atp6v1g2"
"Pkm",9.95654154303234e-20,1.10252750706466,0.988,0.877,2.7876325012182e-15,"Pkm"
"Gpm6a",1.39137242950073e-19,1.00884604007295,1,0.781,3.89556452811615e-15,"Gpm6a"
"Cpne5",1.80036272165208e-19,1.05801163130433,0.691,0.282,5.04065554808148e-15,"Cpne5"
"Rab3a",2.91117584299943e-19,1.16002718708953,1,0.796,8.15071012522981e-15,"Rab3a"
"Stk32c",3.51930566409962e-19,0.806716832375281,0.704,0.303,9.85335199834611e-15,"Stk32c"
"2900011O08Rik",4.07727246232482e-19,0.82725192616194,0.901,0.485,1.1415547440017e-14,"2900011O08Rik"
"Jsrp1",4.26147965756218e-19,0.386991705914061,0.222,0.036,1.19312907452426e-14,"Jsrp1"
"Gria2",8.45858887381122e-19,0.959918438902374,0.975,0.75,2.36823571288967e-14,"Gria2"
"6330403K07Rik",8.98367497871575e-19,1.31435837845077,0.988,0.805,2.51524932054084e-14,"6330403K07Rik"
"Chn1",1.13169747079348e-18,1.10734008353636,0.901,0.529,3.16852657872758e-14,"Chn1"
"Meg3",1.30125476333556e-18,1.08621142220463,1,0.857,3.6432530863869e-14,"Meg3"
"Snap25",1.6183192541473e-18,1.10652109542563,1,0.755,4.5309702477616e-14,"Snap25"
"Calm1",2.26822306448361e-18,1.0211257368976,1,0.984,6.35057093594121e-14,"Calm1"
"Bex2",2.45828108077434e-18,1.05976273577018,1,0.871,6.88269536995199e-14,"Bex2"
"Ap1s1",3.39320318491818e-18,0.931485692177471,0.877,0.56,9.50029027713392e-14,"Ap1s1"
"Car11",3.78705242196829e-18,1.05599444000435,0.728,0.356,1.06029893710268e-13,"Car11"
"Chst1",3.84858510005335e-18,0.890183324254225,0.802,0.407,1.07752685631294e-13,"Chst1"
"Ddn",4.10876068899078e-18,0.47632895857253,0.321,0.073,1.15037081770364e-13,"Ddn"
"Serp2",4.38531515863356e-18,0.909441455240243,0.951,0.557,1.22780053811422e-13,"Serp2"
"Nsg1",4.46416539328437e-18,1.11613642860679,0.951,0.713,1.24987702681176e-13,"Nsg1"
"Ly6h",5.62779955304823e-18,1.14840883704561,0.988,0.798,1.57567131886244e-13,"Ly6h"
"Ptms",8.81349944924102e-18,0.953026076555945,0.938,0.672,2.4676035757985e-13,"Ptms"
"Chchd10",1.27403544810149e-17,0.966585123697125,0.975,0.689,3.56704444759456e-13,"Chchd10"
"Slc22a17",1.49572069014567e-17,0.870505792693301,0.988,0.843,4.18771878826984e-13,"Slc22a17"
"Akap5",1.54128052267269e-17,0.621146459827598,0.469,0.143,4.315277207379e-13,"Akap5"
"Rtn1",1.92977927317259e-17,1.14631346996097,1,0.846,5.40299600902862e-13,"Rtn1"
"Ndufa4",2.1490560504462e-17,1.05588241755516,1,0.931,6.01692713003926e-13,"Ndufa4"
"Negr1",2.52640507918918e-17,0.917878105012251,0.889,0.502,7.07342894071387e-13,"Negr1"
"Mdh1",3.66281028405198e-17,1.06517431827525,0.988,0.888,1.02551362332887e-12,"Mdh1"
"Atp6v1d",3.85803210135597e-17,0.857154650141072,0.963,0.738,1.08017182773764e-12,"Atp6v1d"
"Celf4",3.9273351830349e-17,1.00631165264579,0.988,0.665,1.09957530454611e-12,"Celf4"
"Map9",4.53851034038803e-17,0.703371479620771,0.852,0.403,1.27069212510184e-12,"Map9"
"Dnajb6",5.89904092573159e-17,0.908917507407426,0.963,0.763,1.65161347838633e-12,"Dnajb6"
"Eif4a2",5.9485687301145e-17,1.03258324996555,1,0.912,1.66548027305746e-12,"Eif4a2"
