"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene_symbol"
"Oprk1",0,1.33382916755432,1,0,0,"Oprk1"
"Map2",0,0.653514202524041,0.918,0.635,0,"Map2"
"Resp18",0,1.05766580446614,0.898,0.706,0,"Resp18"
"Itm2c",0,0.794395355770641,0.977,0.887,0,"Itm2c"
"Kifap3",0,0.672993689159238,0.846,0.593,0,"Kifap3"
"Atp1b1",0,0.86714578851212,0.986,0.77,0,"Atp1b1"
"Gad2",0,0.894130173462615,0.888,0.569,0,"Gad2"
"Stxbp1",0,0.649797263423684,0.887,0.569,0,"Stxbp1"
"Scn2a1",0,0.651508681825769,0.864,0.515,0,"Scn2a1"
"Chn1",0,0.746412326950376,0.818,0.495,0,"Chn1"
"Ckmt1",0,0.614849799422545,0.728,0.41,0,"Ckmt1"
"Tmx4",0,0.790804922348017,0.899,0.629,0,"Tmx4"
"Snap25",0,0.821486343990539,0.972,0.73,0,"Snap25"
"Nrsn2",0,0.896853780572584,0.916,0.6,0,"Nrsn2"
"Snhg11",0,0.957132611495995,0.988,0.753,0,"Snhg11"
"Ywhab",0,0.7693597159771,0.944,0.765,0,"Ywhab"
"Stmn3",0,0.92609815160479,0.952,0.763,0,"Stmn3"
"Pcsk1n",0,1.03214491372988,0.995,0.941,0,"Pcsk1n"
"Tspan7",0,0.776338836874335,0.926,0.747,0,"Tspan7"
"Araf",0,0.756387816458482,0.89,0.67,0,"Araf"
"Zcchc12",0,1.09776884576237,0.934,0.635,0,"Zcchc12"
"Pgrmc1",0,0.805503475300538,0.974,0.805,0,"Pgrmc1"
"Hprt",0,0.774813740498396,0.872,0.621,0,"Hprt"
"Cxx1a",0,0.784129847755681,0.953,0.792,0,"Cxx1a"
"Pnck",0,0.816968452056613,0.853,0.53,0,"Pnck"
"Maged1",0,0.731802096440661,0.972,0.797,0,"Maged1"
"Gprasp1",0,0.74314366664803,0.929,0.644,0,"Gprasp1"
"Gprasp2",0,0.815110364270673,0.877,0.588,0,"Gprasp2"
"Bex2",0,0.934124538458438,0.986,0.858,0,"Bex2"
"Bex1",0,0.781960524029264,0.893,0.611,0,"Bex1"
"Wbp5",0,0.732735047653841,0.933,0.755,0,"Wbp5"
"Ngfrap1",0,0.833709598521835,0.941,0.787,0,"Ngfrap1"
"Zcchc18",0,0.902443308285174,0.968,0.73,0,"Zcchc18"
"Pak3",0,0.664381212557017,0.842,0.535,0,"Pak3"
"Tro",0,0.677386156053101,0.826,0.496,0,"Tro"
"Stmn2",0,0.934879429366859,0.883,0.585,0,"Stmn2"
"Gria2",0,0.758652637637621,0.982,0.723,0,"Gria2"
"Mllt11",0,0.863038316302526,0.905,0.648,0,"Mllt11"
"Ppp3ca",0,0.802043262186656,0.938,0.754,0,"Ppp3ca"
"Prkacb",0,0.720905529969571,0.919,0.69,0,"Prkacb"
"Ywhah",0,0.931349390809026,0.978,0.854,0,"Ywhah"
"Nsg1",0,0.879684160136537,0.942,0.686,0,"Nsg1"
"Uchl1",0,0.835011044306029,0.946,0.679,0,"Uchl1"
"Gabrb1",0,0.666347023574019,0.821,0.491,0,"Gabrb1"
"G3bp2",0,0.639934906075003,0.911,0.685,0,"G3bp2"
"1500011B03Rik",0,0.695367655900728,0.836,0.585,0,"1500011B03Rik"
"Ywhag",0,0.64722631405257,0.904,0.625,0,"Ywhag"
"Prkar1b",0,0.717523627216312,0.864,0.533,0,"Prkar1b"
"Tmem130",0,0.770989072532301,0.869,0.546,0,"Tmem130"
"Nap1l5",0,1.0876256276522,0.992,0.929,0,"Nap1l5"
"Tmsb10",0,0.909141570783833,0.944,0.772,0,"Tmsb10"
"Podxl2",0,0.784211604491239,0.837,0.574,0,"Podxl2"
"Syn2",0,0.788491778651843,0.914,0.594,0,"Syn2"
"Pianp",0,0.561093393922658,0.742,0.424,0,"Pianp"
"Gabarapl1",0,0.722284024011191,0.917,0.703,0,"Gabarapl1"
"Syt5",0,0.705567985779969,0.787,0.457,0,"Syt5"
"Peg3",0,0.866953010118203,0.945,0.676,0,"Peg3"
"Usp29",0,0.663619292985885,0.814,0.483,0,"Usp29"
"Pnmal2",0,0.727001791757965,0.948,0.673,0,"Pnmal2"
"Ube3a",0,0.725775567721936,0.957,0.761,0,"Ube3a"
"Snrpn",0,0.866952399963753,0.978,0.868,0,"Snrpn"
"RP23-407N2.2",0,0.642303660171061,0.848,0.547,0,"RP23-407N2.2"
